"gardenerid","date","areaname"
"3","2021-11-28","Block1"
"3","2021-11-29","Block9"
"3","2021-11-30","Block7"
"3","2021-12-10","mess Backside"
"4","2021-11-28","sunday"
"4","2021-11-29","Adminblock"
"4","2021-11-30","Block 1"
"4","2021-12-01","Block10"
"4","2021-12-02","Block10"
"4","2021-12-03","Block10"
"4","2021-12-21","Block5"
"4","2021-12-22","Block5"
"4","2021-12-23","Block5"
"6","2021-11-29","Block3"
"7","2021-12-01","Block5"
"7","2021-12-02","Block5"
"7","2021-12-03","Block5"
"7","2021-12-04","AdminBlock"
"7","2021-12-05","sunday"
"7","2021-12-06","AdminBlock"
"7","2021-12-07","AdminBlock"
"7","2021-12-08","AdminBlock"
"7","2021-12-09","AdminBlock"
"7","2021-12-10","AdminBlock"
